tmdb_id,title,original_title,overview,tagline,genres,actors,directors,writers,keywords,release_date,certification,runtime,vote_average,vote_count,popularity,poster_path,backdrop_path,original_language,status,budget,revenue,similar_movies,last_updated
1511417,Bāhubali: The Epic,Bāhubali: The Epic,"When a mysterious child is found by a tribal couple near a roaring waterfall, they raise him as their own. As he grows, Sivudu is drawn to the world beyond the cliffs, where he discovers the ancient kingdom of Mahishmati, ruled by a cruel tyrant, haunted by rebellion, and bound to his past. What begins as a quest for love soon unravels a legacy of betrayal, sacrifice, and a forgotten prince.",,"['Action', 'Drama']","['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Ramya Krishnan', 'Sathyaraj', 'Nassar', 'Subbaraju', 'Tamannaah Bhatia']",['S. S. Rajamouli'],"['S. S. Rajamouli', 'Madhan Karky', 'Deva Katta', 'Vijayendra Prasad', 'Rahul Koda']","['affectation', 'flashback', 'revenge', 'alternate history', 'historical fiction', 'fratricide', 'ancient india', 'regicide', 'multi generational', 'absurd', 'hindu shiva', 'multiple timelines', 'remastered', 'epic film', ""director's cut""]",2025-10-29,U/A 16+,224,6.0,34,35.9361,/z9YIo2qscyaXYgRqIdRJtND3bw8.jpg,/wCwZ4ljSsWyZyTiyk1tGQtBHTDx.jpg,te,Released,65000000,3500000,"[{'id': 961268, 'title': 'Ballerina', 'poster_path': '/oE7xtGDqZnr7tFHfwb8oM9iRW6H.jpg'}, {'id': 2378, 'title': 'The Island of Thirty Coffins', 'poster_path': '/yHYx4ClWbx6g7pYCMW1gb32dCEd.jpg'}, {'id': 2487, 'title': 'Lady Snowblood', 'poster_path': '/wkcbaqCoYEXDUnSQ6NTnB2C7H05.jpg'}, {'id': 2501, 'title': 'The Bourne Identity', 'poster_path': '/aP8swke3gmowbkfZ6lmNidu0y9p.jpg'}, {'id': 2503, 'title': 'The Bourne Ultimatum', 'poster_path': '/15rMz5MRXFp7CP4VxhjYw4y0FUn.jpg'}]",2026-04-01T12:32:03.337788
256040,Bāhubali: The Beginning,బాహుబలి:ద బిగినింగ్,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.",,"['Action', 'Drama']","['Prabhas', 'Rana Daggubati', 'Tamannaah Bhatia', 'Anushka Shetty', 'Ramya Krishnan', 'Nassar', 'Sathyaraj', 'Prabhakar']",['S. S. Rajamouli'],"['S. S. Rajamouli', 'Vijayendra Prasad', 'Rahul Koda']","['kingdom', 'medieval india', 'ancient india', 'bilingual']",2015-07-10,UA,159,7.522,912,7.058,/9BAjt8nSSms62uOVYn1t3C3dVto.jpg,/e9ZEuHGHZ06AToHlfN1L7nejJ7W.jpg,te,Released,25130430,90747520,"[{'id': 2702, 'title': 'Earth and Ashes', 'poster_path': '/rDY9qA72g7D9XkcxlllHMq4gIMX.jpg'}, {'id': 2576, 'title': 'The Diary of Anne Frank', 'poster_path': '/i7kUdUAF9eTxQG7GdR6lKUK96En.jpg'}, {'id': 426042, 'title': 'Drei Tage auf Leben und Tod - Aus dem Logbuch der U.C.1', 'poster_path': None}, {'id': 599925, 'title': 'Shershaah', 'poster_path': '/2PToC5l3pFi3yotQy2VJshvk40y.jpg'}, {'id': 426210, 'title': 'Over Dinner', 'poster_path': None}]",2026-04-01T12:32:04.053962
1022453,The Rajasaab,ది రాజాసాబ్,"Seeking his lost grandfather, a young man enters a haunted mansion and awakens a family curse powerful enough to upend both his life and reality.",,"['Comedy', 'Horror', 'Fantasy']","['Prabhas', 'Sanjay Dutt', 'Zarina Wahab', 'Nidhhi Agerwal', 'Malavika Mohanan', 'Riddhi Kumar', 'Boman Irani', 'Samuthirakani']",['Maruthi Dasari'],['Maruthi Dasari'],"['haunted house', 'hypnosis', 'musical', 'romcom', 'ancient curse', 'grandfather grandson relationship', 'supernatural horror', 'mysterious disappearance', 'absurd', 'horror romance', 'romantic fantasy', 'ambiguous', 'cliché', 'self hypnosis', 'comedy horror']",2026-01-08,U/A 16+,186,5.185,27,6.6867,/nvK6gYa4diCnQkDVN42uoYXPrdT.jpg,/kCwmLYy9ZMto1eMH8BI9KcVVIH2.jpg,te,Released,50000000,21000000,"[{'id': 1323488, 'title': 'Let Us Descend', 'poster_path': '/e1eFvCgdqmlRffGbiuMUOnSoSI3.jpg'}, {'id': 1323625, 'title': 'Night Patrol', 'poster_path': '/rNqLzACU9ez2ehDalTFDPjZiC4G.jpg'}, {'id': 16618, 'title': 'Hans Christian Andersen', 'poster_path': '/auHA8xsD452GDCY2KdHGgYPmDPf.jpg'}, {'id': 16633, 'title': 'Somewhere in Time', 'poster_path': '/hmdegiSwVYUNvEfihaE3HRM3Sos.jpg'}, {'id': 961801, 'title': 'Erhöhte Waldbrandgefahr', 'poster_path': None}]",2026-04-01T12:32:04.764163
579974,RRR,రౌద్రం రణం రుధిరం,A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,"Rise, Roar, Revolt.","['Action', 'Adventure', 'Drama']","['N.T. Rama Rao Jr.', 'Ram Charan', 'Olivia Morris', 'Ray Stevenson', 'Alison Doody', 'Ajay Devgn', 'Alia Bhatt', 'Samuthirakani']",['S. S. Rajamouli'],"['Vijayendra Prasad', 'S. S. Rajamouli']","['rescue', 'revolution', 'liberation', 'slavery', 'male friendship', 'freedom fighter', 'british empire', 'interracial romance', 'historical fiction', 'period drama', 'historical', '1920s', 'history of india', 'killed in action', 'war']",2022-03-24,UA,187,7.725,1560,6.0589,/u0XUBNQWlOvrh0Gd97ARGpIkL0.jpg,/i0Y0wP8H6SRgjr6QmuwbtQbS24D.jpg,te,Released,69000000,160000000,"[{'id': 425054, 'title': 'Stories from the Sahrawi war', 'poster_path': None}, {'id': 774370, 'title': 'Dog Man', 'poster_path': '/89wNiexZdvLQ41OQWIsQy4O6jAQ.jpg'}, {'id': 1577, 'title': 'Resident Evil: Apocalypse', 'poster_path': '/way9dOm4dM2sm9UMcu2PEXMTX0q.jpg'}, {'id': 1579, 'title': 'Apocalypto', 'poster_path': '/cRY25Q32kDNPFDkFkxAs6bgCq3L.jpg'}, {'id': 1585, 'title': ""It's a Wonderful Life"", 'poster_path': '/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg'}]",2026-04-01T12:32:05.475162
770906,Salaar: Part 1 - Ceasefire,సలార్: పార్ట్‌ 1 – సీజ్‌ఫైర్‌,"Set in the fictional dystopian city-state of Khansaar, the film follows the friendship between Deva, a tribesman, and Varadha, the prince of Khansaar. When a coup d'état is planned by his father's ministers and his relatives, Varadha enlists Deva's help to become Khansaar's undisputed ruler.",THE MOST VIOLENT MEN... CALLED ONE MAN... THE MOST VIOLENT,"['Action', 'Crime', 'Drama']","['Prabhas', 'Prithviraj Sukumaran', 'Shruti Haasan', 'Easwari Rao', 'Jagapati Babu', 'Bobby Simha', 'Sriya Reddy', 'Ramachandra Raju']",['Prashanth Neel'],['Prashanth Neel'],"['drama', 'action', 'salaar']",2023-12-21,A,175,6.684,106,5.5283,/nlu9WbcetNFRGXXPWITr30ob7W6.jpg,/xtOCTmGemASooRkAxRorYODig1p.jpg,te,Released,34000000,87229100,"[{'id': 1492344, 'title': 'Skins: Fire', 'poster_path': '/jFGgGCjvk7VcFPY2gmWVJBNYXGP.jpg'}, {'id': 1311264, 'title': 'Needle Theory', 'poster_path': '/l8B3KJPvJxU4mErYntfHSJFF3cN.jpg'}, {'id': 1311449, 'title': 'Notifiée', 'poster_path': '/akWmvIFFaPOXi4kULDkE35HXmiG.jpg'}, {'id': 3425, 'title': 'A Simple Story', 'poster_path': '/2OyRQunGqWBMcBDjT4s0nFXFXsh.jpg'}, {'id': 255496, 'title': 'And Then There Was You', 'poster_path': '/wmtmesMvTPVz21HgTuijZhrYLyJ.jpg'}]",2026-04-01T12:32:06.185824
811941,Devara: Part 1,Devara: Part 1,"Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",When courage turns into a Disease... Fear is the only cure,"['Action', 'Drama']","['N.T. Rama Rao Jr.', 'Saif Ali Khan', 'Prakash Raj', 'Srikanth', 'Kalaiyarasan', 'Shruti Marathe', 'Janhvi Kapoor', 'Shine Tom Chacko']",['Koratala Siva'],['Koratala Siva'],"['sea', 'ship', 'red sea', 'boat', 'fear', 'battle', 'unassuming', 'swords', 'ships', 'violence', 'boats']",2024-09-26,UA,175,6.9,212,5.4541,/lQfuaXjANoTsdx5iS0gCXlK9D2L.jpg,/hAQnXxOwCjgYcKRgTdYPRC8neqL.jpg,te,Released,31764000,54216867,"[{'id': 1323551, 'title': 'Flight', 'poster_path': '/y2cH7CnSVkSOkuhMRPGejlYc22l.jpg'}, {'id': 1153988, 'title': 'Slipway', 'poster_path': None}, {'id': 3513, 'title': 'Legionnaire', 'poster_path': '/vHezb1DIEB3DyBx9gp914y03yAG.jpg'}, {'id': 3764, 'title': 'The Naked Island', 'poster_path': '/rHpQyPBuFyofx5D5UC95ec2sFgV.jpg'}, {'id': 1493343, 'title': 'Billy Boy', 'poster_path': '/zhtjs3vLCLibok5aev5EtxSjvbT.jpg'}]",2026-04-01T12:32:06.906777
801688,Kalki 2898-AD,కల్కి 2898-ఎ.డి,"In the year 2898 AD, around 6000 years after Kurukshetra war, Ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and Bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process.","When the world is taken over by darkness, a new force will arise.","['Drama', 'Action', 'Fantasy', 'Science Fiction']","['Amitabh Bachchan', 'Prabhas', 'Deepika Padukone', 'Kamal Haasan', 'Saswata Chatterjee', 'Shobana', 'Rajendra Prasad', 'Pasupathy']",['Nag Ashwin'],"['Nag Ashwin', 'Nag Ashwin']","['rebellion', 'hero', 'temple', 'dystopia', 'villain', 'desert', 'religious statue', 'futuristic society', 'quest', 'imperialism', 'ancient temple', 'indian folklore', 'evil empire', 'fantasy', 'indian gods']",2024-06-26,UA,176,6.429,169,4.2641,/rstcAnBeCkxNQjNp3YXrF6IP1tW.jpg,/o8XSR1SONnjcsv84NRu6Mwsl5io.jpg,te,Released,75000000,141000000,"[{'id': 3418, 'title': 'Death Watch', 'poster_path': '/wSuvftmbs0fInDe69u8yDUtElsp.jpg'}, {'id': 600052, 'title': 'Cool Young', 'poster_path': '/oleLW1xKKs0L320egnxTAkAnmHB.jpg'}, {'id': 2964, 'title': 'A Trip to Mars', 'poster_path': '/41OY4EAtbxzTAWe13lzJSUlfi2U.jpg'}, {'id': 3009, 'title': 'The Trial', 'poster_path': '/4qDUe5HqB8pXNplSBlsoyVjNP3r.jpg'}, {'id': 2657, 'title': 'Pleasantville', 'poster_path': '/m1hhYP6OScjKU5Z9iZaWirSn4I6.jpg'}]",2026-04-01T12:32:07.645656
350312,Bāhubali 2: The Conclusion,బాహుబలి 2: ది కన్ క్లూజన్,"When Mahendra, the son of Bāhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",,"['Action', 'Adventure', 'Fantasy']","['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Sathyaraj', 'Nassar', 'Ramya Krishnan', 'Subbaraju', 'Tamannaah Bhatia']",['S. S. Rajamouli'],"['S. S. Rajamouli', 'Vijayendra Prasad', 'Rahul Koda']","['kingdom', 'bilingual']",2017-04-27,UA,167,7.454,837,4.1077,/21sC2assImQIYCEDA84Qh9d1RsK.jpg,/whNjsTOUVg2lZLCKgGhnACnmV8E.jpg,te,Released,31000000,280700000,"[{'id': 2486, 'title': 'Eragon', 'poster_path': '/mNu6QLUnKqPIjRA3pgEb5dkJye6.jpg'}, {'id': 9837, 'title': 'The Prince of Egypt', 'poster_path': '/2xUjYwL6Ol7TLJPPKs7sYW5PWLX.jpg'}, {'id': 10196, 'title': 'The Last Airbender', 'poster_path': '/kl9JJ8288bNsY8oqT1SpQh1w2mb.jpg'}, {'id': 10144, 'title': 'The Little Mermaid', 'poster_path': '/plcZXvI310FkbwIptvd6rqk63LP.jpg'}, {'id': 10372, 'title': 'Ewoks: The Battle for Endor', 'poster_path': '/ntgKdekb7xMKscyh2Hei706LBLf.jpg'}]",2026-04-01T12:32:08.361544
1068452,Hi Nanna,హాయ్ నాన్న,"Six-year-old Mahi, a spirited child with cystic fibrosis, shares a deep yet complex bond with her father, Viraj, a dedicated single parent and successful fashion photographer. Her curiosity about her absent mother leads to a journey of discovery when she runs away with her loyal dog, Pluto. A chance encounter with a kind woman named Yashna sparks unexpected revelations, intertwining their lives in ways they never anticipated. Set against a backdrop of love, sacrifice, and redemption, Mahi’s story is a heartfelt exploration of family, resilience, and the enduring power of connection.",,"['Drama', 'Family', 'Romance']","['Nani', 'Mrunal Thakur', 'Baby Kiara Khanna', 'Jayaram', 'Shilpa Tulaskar', 'Priyadarshi Pullikonda', 'Angad Bedi', 'Viraj Ashwin']",['Shouryuv'],['Shouryuv'],[],2023-12-07,U,155,7.798,62,3.8726,/hhMLtq9m1aK0dpY9Wcq26XeDH2z.jpg,/2vxKa3gMHc84O1iHRkslqeHSsxE.jpg,te,Released,7819000,9184966,[],2026-04-01T12:32:09.088501
94965,Okkadu,ఒక్కడు,"Ajay, a fiery Kabaddi player from Hyderabad, visits Kurnool for a tournament and rescues Swapna from a faction leader Obul Reddy, who wants to force her into marriage. He secretly hides her in his home and assists her in planning her escape abroad for her higher studies. But, fate has other plans.",,"['Action', 'Drama', 'Romance']","['Mahesh Babu', 'Bhumika Chawla', 'Prakash Raj', 'Mukesh Rishi', 'Geetha', 'Chandramohan', 'Ajay', 'Dharmavarupu Subramanyam']",['Gunasekhar'],['Gunasekhar'],"['rescue', 'police', 'sports', 'kidnapping', 'rivalry', 'tension', 'tournament', 'falling in love', 'tough guy', 'faction', 'escape plan', 'manhunt', 'kabaddi', 'father son relationship', 'brother sister relationship']",2003-01-15,U,170,7.643,42,3.7316,/anRD9xypdejFlbp0f3eQrSDUtbi.jpg,/bB65WB9fVXWItfab4M5PFbp5jtI.jpg,te,Released,0,4693170,"[{'id': 1309923, 'title': 'Non Negotiable', 'poster_path': '/bHQG4UsLMFCy91gfLAFRpnCOPdP.jpg'}, {'id': 425249, 'title': 'A Loser', 'poster_path': '/iDkGIjVTtbFQP23DjuXny4iBoNU.jpg'}, {'id': 1577, 'title': 'Resident Evil: Apocalypse', 'poster_path': '/way9dOm4dM2sm9UMcu2PEXMTX0q.jpg'}, {'id': 1578, 'title': 'Raging Bull', 'poster_path': '/1WV7WlTS8LI1L5NkCgjWT9GSW3O.jpg'}, {'id': 252723, 'title': 'Mercy Rule', 'poster_path': '/4Hz3xsBVAQIIjgXpFOvffwTeox8.jpg'}]",2026-04-01T12:32:09.806074
894803,Sita Ramam,సీతా రామం,"Afreen, a rebellious Pakistani student sets ablaze the car of an Indian in London. Angered Afreen returns to Pakistan to ask for money from her grandfather that she has to pay in a month's time as damages. However, she gets to know that he is no more and the only thing he has left for her is a letter-delivering task, written by Ram to Sita. As Afreen sets out to find Ram, there begins her journey of discovering the secret behind the 20-year-old letter.",,"['History', 'Romance', 'Drama']","['Dulquer Salmaan', 'Mrunal Thakur', 'Rashmika Mandanna', 'Sumanth', 'Gautham Vasudev Menon', 'Tharun Bhascker', 'Vennela Kishore', 'Shatru']",['Hanu Raghavapudi'],"['Raj Kumar Kandamudi', 'Hanu Raghavapudi', 'Hanu Raghavapudi']","['loving', 'love in war', 'pure love', 'intense', 'romantic', 'classic', 'admiring', 'awestruck', 'vibrant', 'pure heart']",2022-08-05,U,158,7.748,103,3.353,/t1O94ZBzsQXJihtVkrsStRLyUDR.jpg,/28EqsZDeEAy4VMZfrYbiyJZznKn.jpg,te,Released,3400000,11800000,"[{'id': 2428, 'title': 'The Greatest Story Ever Told', 'poster_path': '/c21ON7BZn0jwdNl6ibZ1vhXJmpy.jpg'}, {'id': 2493, 'title': 'The Princess Bride', 'poster_path': '/2FC9L9MrjBoGHYjYZjdWQdopVYb.jpg'}, {'id': 2501, 'title': 'The Bourne Identity', 'poster_path': '/aP8swke3gmowbkfZ6lmNidu0y9p.jpg'}, {'id': 2612, 'title': 'Mr. Destiny', 'poster_path': '/zlYxDFP9l1YcUnspNzuIa8KVo4N.jpg'}, {'id': 2503, 'title': 'The Bourne Ultimatum', 'poster_path': '/15rMz5MRXFp7CP4VxhjYw4y0FUn.jpg'}]",2026-04-01T12:32:10.522660
534530,Aravinda Sametha Veera Raghava,అరవింద సమేత... వీర రాఘవ,A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.,,"['Action', 'Drama']","['N.T. Rama Rao Jr.', 'Pooja Hegde', 'Jagapati Babu', 'Naveen Chandra', 'Eesha Rebba', 'Sunil Varma', 'Brahmaji', 'Shatru']",['Trivikram Srinivas'],['Trivikram Srinivas'],[],2018-10-11,UA,162,7.2,34,3.1902,/wKuOZdP0i6hlv5veDAUSBZ2mUaK.jpg,/smfECB2aVoHAPTQJ2REwUu9LMpQ.jpg,te,Released,0,0,"[{'id': 1323499, 'title': 'Self-Contained Enclosure', 'poster_path': '/uDcIw5fUlboCH6940vd6IAZ7OLS.jpg'}, {'id': 610966, 'title': 'There is no forgetting', 'poster_path': '/lLVvOGKNgSKhJcMkyUyQr6ndEMO.jpg'}, {'id': 1323488, 'title': 'Let Us Descend', 'poster_path': '/e1eFvCgdqmlRffGbiuMUOnSoSI3.jpg'}, {'id': 1323491, 'title': 'Wiseguy: Pilot', 'poster_path': '/7zawBi4LjZjZ7qnRZ8Ir0BaadZA.jpg'}, {'id': 1323493, 'title': 'Chicks with Sticks: Live in Las Vegas', 'poster_path': None}]",2026-04-01T12:32:11.232276
690957,Pushpa: The Rise,పుష్పా - The Rise,"As Pushpa, a labourer, rises in the world of red sandalwood smuggling, he ends up making many enemies. However, violence ensues when the police try to topple his illegal business.",,"['Action', 'Drama', 'Thriller']","['Allu Arjun', 'Rashmika Mandanna', 'Jagadeesh Bandari', 'Sunil Varma', 'Anasuya Bharadwaj', 'Dhananjay', 'Ajay Ghosh', 'Fahadh Faasil']",['Sukumar'],['Sukumar'],"['rags to riches', 'smugglers', 'sandalwood', 'egotistical', 'authoritarian']",2021-12-16,UA,179,6.781,178,3.0942,/80anhviEFSyLLY71JNttKkGxkpz.jpg,/jQIcn51nsvMrpB9NFwEOb9QHhFt.jpg,te,Released,17200000,45800000,"[{'id': 1579, 'title': 'Apocalypto', 'poster_path': '/cRY25Q32kDNPFDkFkxAs6bgCq3L.jpg'}, {'id': 1619, 'title': 'The Way of the Gun', 'poster_path': '/wrjMMdgn1a4ChlaBmlzKnb78nr6.jpg'}, {'id': 1712, 'title': 'Giant', 'poster_path': '/h5RRYPVVuHzd7QOJyP5Dsi8J9XZ.jpg'}, {'id': 1677, 'title': 'Ray', 'poster_path': '/tSPC7sO2XYNL9QcMmK88tuUALL5.jpg'}, {'id': 3084, 'title': 'Wuthering Heights', 'poster_path': '/pwHdSzXwlUFAcYGcFutKcPcX2OW.jpg'}]",2026-04-01T12:32:11.952328
460699,Nene Raju Nene Mantri,నేనే రాజు నేనే మంత్రి,"Nene Raju Nene Mantri is the story of Radha Jogendra and the love of his life, Radha. His whole world revolves around her and he can go to any lengths to make her happy. But what happens when such profound love takes the shape of cavernous ambition?",,"['Action', 'Romance', 'Thriller']","['Rana Daggubati', 'Kajal Aggarwal', 'Catherine Tresa', 'Navdeep', 'Ashutosh Rana', 'Ravi Joshi', 'Jayaprakash Reddy', 'Posani Krishna Murali']",['Teja'],['Teja'],"['corrupt politician', 'political satire', 'political thriller']",2017-08-11,UA,153,6.6,21,3.0756,/gn5fMSKTBweRVGGBDksAIhIhR6v.jpg,/djbk5b8UJ96yN9zUO5hafy0VXLv.jpg,te,Released,0,0,"[{'id': 2501, 'title': 'The Bourne Identity', 'poster_path': '/aP8swke3gmowbkfZ6lmNidu0y9p.jpg'}, {'id': 3085, 'title': 'His Girl Friday', 'poster_path': '/lu86Y9zTPH3neCiUzLzHCEFHf7f.jpg'}, {'id': 258037, 'title': 'Guns of Darkness', 'poster_path': '/1DFh1mL9V1a2vo6Z5FMgrusYbX4.jpg'}, {'id': 9869, 'title': 'Patriot Games', 'poster_path': '/9IT7gnszrRthduYxCLqaIkM55Un.jpg'}, {'id': 9882, 'title': 'The Siege', 'poster_path': '/gbeeWu8rYaIYMyq9ayN1AepjNxP.jpg'}]",2026-04-01T12:32:12.654285
1440700,Little Hearts,లిటిల్ హార్ట్స్,"Akhil, when failed in EAMCET exam, is forced into long-term coaching after heartbreak teaches him the difference between true and shallow love. At the center, he meets Katyayani and falls for her, only to be rejected for a strange reason. Determined not to lose her, his humorous and transformative journey to win her heart becomes the soul of the story.",,"['Comedy', 'Romance', 'Drama']","['Mouli', 'Shivani Nagaram', 'Rajiv Kanakala', 'S. S. Kanchi', 'Anitha Chowdary', 'Satya Krishnan', 'Jai Krishna', 'Nikhil Abburi']",['Sai Marthand'],['Sai Marthand'],[],2025-09-05,U/A 7+,128,6.6,14,2.6604,/qDTHRLgYTUAZimgNsmG6t2Saabz.jpg,/wN0epLoxu8pbvde68M9IZG5T8eD.jpg,te,Released,0,0,[],2026-04-01T12:32:13.372730
148265,Eega,ఈగ,"Nani is a flower decorator, madly in love with his neighbor Bindhu. He gets killed by the baddie, Sudeep, a powerful businessman. Nani comes back as a housefly to get his revenge.",The Ultimate Revenge Story.,"['Fantasy', 'Action']","['Sudeepa', 'Samantha Ruth Prabhu', 'Nani', 'Adithya Menon', 'Thagubothu Ramesh', 'Devadarshini', 'Chatrapathi Sekhar', 'Srinivasa Reddy']",['S. S. Rajamouli'],"['S. S. Rajamouli', 'Ashwin Gangaraju']","['afterlife', 'reincarnation', 'revenge', 'murder', 'torture', 'bilingual']",2012-07-05,UA,145,7.083,242,2.5037,/pX7fn4EZrg2YFlV4GNMIfHDOQZ6.jpg,/fuCfQ0D2HtNa7kRLFDkPWl87Zs9.jpg,te,Released,5990000,19450000,"[{'id': 1572, 'title': 'Die Hard: With a Vengeance', 'poster_path': '/buqmCdFQEWwEpL3agGgg2GVjN2d.jpg'}, {'id': 774417, 'title': 'Running Water', 'poster_path': '/wlsYWIwVSdtwLcBJbmaKPABQOHo.jpg'}, {'id': 1140847, 'title': ""Cinderella's Revenge"", 'poster_path': '/cYB3SHhITJSbRoisgn9QQTP8YkZ.jpg'}, {'id': 1672, 'title': 'The Professional', 'poster_path': '/dhAZ8T0tTlTNw3D7Cn8wc87sk1w.jpg'}, {'id': 1711, 'title': 'No Code of Conduct', 'poster_path': '/9Ml1UUzLvoB5BjDvwFyMVvdstiH.jpg'}]",2026-04-01T12:32:14.080624
83889,Businessman,బిజినెస్ మాన్,"Just as the cops have declared the end of Mafia in Mumbai, a man named Surya arrives in the city with the intentions of conquering it.",Guns Don't Need Agreements,"['Action', 'Crime']","['Mahesh Babu', 'Kajal Aggarwal', 'Prakash Raj', 'Sayaji Shinde', 'Nassar', 'Dharmavarupu Subramanyam', 'Mahesh Balraj', 'Ayesha Shiva']",['Puri Jagannadh'],['Puri Jagannadh'],"['corruption', 'loss of loved one', 'gangster', 'anti hero', 'murder', 'vigilante', 'organized crime', 'extortion', 'mafia', 'orphan', 'corrupt politician', 'gun violence', 'rise to power', 'political corruption', 'crime syndicate']",2012-01-13,A,133,7.178,59,2.2792,/hLF5o53irg0ZVV4ecLptkLgiTXq.jpg,/uCZgvuc1ONSoyMQ0AB5OWmprvv0.jpg,te,Released,0,10830393,"[{'id': 1579, 'title': 'Apocalypto', 'poster_path': '/cRY25Q32kDNPFDkFkxAs6bgCq3L.jpg'}, {'id': 1580, 'title': 'Rope', 'poster_path': '/9ar6rxLDB8kagAnXZKn6h9smscr.jpg'}, {'id': 1592, 'title': 'Primal Fear', 'poster_path': '/qJf2TzE8nRTFbFMPJNW6c8mI0KU.jpg'}, {'id': 1607, 'title': 'A Bronx Tale', 'poster_path': '/sDbO6LmLYtyqAoFTPpRcMgPSCEO.jpg'}, {'id': 1613, 'title': 'The 51st State', 'poster_path': '/aYlrGirWrRCTU1PF6Svghn1EMAc.jpg'}]",2026-04-01T12:32:14.785504
262227,Race Gurram,రేసుగుర్రం,"Ram and Lakshman, aka Lucky, are brothers who are polar opposites in nature. Their mother wishes to see them united.",,"['Comedy', 'Action']","['Allu Arjun', 'Shruti Haasan', 'Ravi Kishan', 'Brahmanandam', 'Shaam', 'M. S. Narayana', 'Prakash Raj', 'Jayaprakash Reddy']",['Surender Reddy'],"['Vakkantham Vamsi', 'Surender Reddy']",[],2014-04-11,UA,162,6.741,56,2.211,/oHqHsgx8lc01xrBraY4OBJtdeRn.jpg,/m4izPWHxXNg237sQm4jks9m9xxP.jpg,te,Released,0,0,[],2026-04-01T12:32:15.498361
443635,DJ: Duvvada Jagannadham,డీజే: దువ్వాడ జగన్నాథం,"A righteous young man who helps everyone gain their rightful justice, gets recruited as an undercover agent to work on a high profile case that involves a crime lord working for a corrupt minister who also happens to be the father of his romantic interest.",,"['Action', 'Comedy', 'Crime']","['Allu Arjun', 'Pooja Hegde', 'Rao Ramesh', 'Murali Sharma', 'Tanikella Bharani', 'Vennela Kishore', 'Subbaraju', 'Chandramohan']",['Harish Shankar'],"['Harish Shankar', 'Satish Vegesna', 'Ramesh Reddy']",[],2017-06-23,UA,160,5.89,59,2.1858,/okq2Q1f2alXGWQMLsCi4wXoAXt4.jpg,/8nGg7rp4lSOOfzmVN6UPQCyUkjs.jpg,te,Released,0,0,[],2026-04-01T12:32:16.213210
454292,Saaho,సాహో,"A battle for power ensues as warring gangters thrive to gain possession of a ""black box"" that can make them richer than they already are, and an undercover cop intervenes with the help of his sharp intellect and an instinct to kill.",,"['Action', 'Adventure', 'Thriller']","['Prabhas', 'Shraddha Kapoor', 'Neil Nitin Mukesh', 'Chunky Panday', 'Mandira Bedi', 'Arun Vijay', 'Murali Sharma', 'Jackie Shroff']",['Sujeeth'],"['Sujeeth', 'Sujeeth']","['truck', 'gunfight', 'motorcycle chase', 'action hero', 'sujeeth cinematic universe']",2019-08-29,U/A 13+,171,5.759,110,2.1855,/abjWQwUakmBUecf73jiZDx5iex0.jpg,/svYKd14P9i3Ai7F0tRl3WNwjRa1.jpg,te,Released,51000000,55000000,"[{'id': 2501, 'title': 'The Bourne Identity', 'poster_path': '/aP8swke3gmowbkfZ6lmNidu0y9p.jpg'}, {'id': 2503, 'title': 'The Bourne Ultimatum', 'poster_path': '/15rMz5MRXFp7CP4VxhjYw4y0FUn.jpg'}, {'id': 3559, 'title': 'The Tube', 'poster_path': '/k3c0RHScu4HnqINZ9Xlzff0adBq.jpg'}, {'id': 2989, 'title': 'Roar', 'poster_path': '/oN7FZe6qNAAb46MpgbIyua8fJy7.jpg'}, {'id': 2671, 'title': 'Ring', 'poster_path': '/1YINof6kN5yRdePEbcU5360ejoq.jpg'}]",2026-04-01T12:32:16.955718
